genre,count,mean_rating
Drama,39895,3.6873793708484772
Comedy,29832,3.3940734781442745
Action,25589,3.480245417953027
Thriller,21872,3.5090069495245064
Romance,19461,3.621704948358255
Adventure,13753,3.503526503308369
Sci-Fi,12730,3.5607227022780834
War,9398,3.815811874866993
Crime,8055,3.6322780881440098
Children's,7182,3.3532442216652742
Horror,5317,3.2903893172841827
Mystery,5245,3.63813155386082
Musical,4954,3.521396851029471
Animation,3605,3.5766990291262135
Western,1854,3.6132686084142396
Film-Noir,1733,3.9215233698788228
Fantasy,1352,3.2152366863905324
Documentary,758,3.6728232189973613
unknown,10,3.2
