movieId,title,first_rating
255,My Best Friend's Wedding (1997),1997-09-20 03:05:10
286,"English Patient, The (1996)",1997-09-20 03:05:27
298,Face/Off (1997),1997-09-20 03:05:54
185,Psycho (1960),1997-09-20 03:06:21
173,"Princess Bride, The (1987)",1997-09-20 03:07:23
108,Kids in the Hall: Brain Candy (1996),1997-09-20 03:08:02
772,Kids (1995),1997-09-20 03:08:02
288,Scream (1996),1997-09-20 03:08:25
928,"Craft, The (1996)",1997-09-20 03:08:57
117,"Rock, The (1996)",1997-09-20 03:09:48
200,"Shining, The (1980)",1997-09-20 03:11:21
405,Mission: Impossible (1996),1997-09-20 03:12:00
1074,Reality Bites (1994),1997-09-20 03:14:24
176,Aliens (1986),1997-09-20 03:16:26
357,One Flew Over the Cuckoo's Nest (1975),1997-09-20 03:18:05
210,Indiana Jones and the Last Crusade (1989),1997-09-20 03:18:05
687,McHale's Navy (1997),1997-09-20 04:02:48
284,Tin Cup (1996),1997-09-20 04:05:38
696,City Hall (1996),1997-09-20 04:05:38
295,Breakdown (1997),1997-09-20 04:06:10
473,James and the Giant Peach (1996),1997-09-20 04:06:36
544,Things to Do in Denver when You're Dead (1995),1997-09-20 04:06:36
290,Fierce Creatures (1997),1997-09-20 04:07:10
147,"Long Kiss Goodnight, The (1996)",1997-09-20 04:07:41
121,Independence Day (ID4) (1996),1997-09-20 04:09:25
717,"Juror, The (1996)",1997-09-20 04:09:58
220,"Mirror Has Two Faces, The (1996)",1997-09-20 04:28:02
1040,Two if by Sea (1996),1997-09-20 04:28:02
510,"Magnificent Seven, The (1954)",1997-09-20 04:29:09
50,Star Wars (1977),1997-09-20 04:29:10
417,"Parent Trap, The (1961)",1997-09-20 04:29:10
731,"Corrina, Corrina (1994)",1997-09-20 04:29:10
385,True Lies (1994),1997-09-20 04:29:38
623,Angels in the Outfield (1994),1997-09-20 04:29:38
97,Dances with Wolves (1990),1997-09-20 04:30:16
66,While You Were Sleeping (1995),1997-09-20 04:30:16
96,Terminator 2: Judgment Day (1991),1997-09-20 04:30:50
553,"Walk in the Clouds, A (1995)",1997-09-20 04:30:50
79,"Fugitive, The (1993)",1997-09-20 04:30:50
969,Winnie the Pooh and the Blustery Day (1968),1997-09-20 04:30:50
181,Return of the Jedi (1983),1997-09-20 04:31:41
172,"Empire Strikes Back, The (1980)",1997-09-20 04:31:41
498,"African Queen, The (1951)",1997-09-20 04:32:15
